0.23518,0.23279,0.30283,0.22921
0.26856,0.1867,0.25641,0.28833
0.30482,0.28381,0.21064,0.20072
0.26643,0.24014,0.23619,0.25724
0.22979,0.28842,0.22625,0.25554
0.26424,0.24564,0.23051,0.25961
0.21769,0.25755,0.25473,0.27004
0.26126,0.2508,0.26544,0.2225
0.25302,0.25602,0.25795,0.23301
0.22777,0.21712,0.28068,0.27443
0.29541,0.22995,0.25386,0.22077
0.21456,0.25492,0.30608,0.22444
0.24101,0.23852,0.23598,0.2845
0.2605,0.2676,0.3074,0.16449
0.21225,0.20854,0.2778,0.3014
0.29107,0.23812,0.20978,0.26103
0.2133,0.30281,0.21569,0.2682
0.26983,0.2448,0.25851,0.22687
0.24185,0.2813,0.22898,0.24787
0.22987,0.24012,0.26473,0.26528
0.23172,0.23598,0.27621,0.25609
0.21569,0.24165,0.29718,0.24548
0.22731,0.27851,0.25907,0.23511
0.23195,0.26648,0.25795,0.24362
0.20783,0.23477,0.34958,0.20783
0.22118,0.24758,0.21337,0.31786
0.27679,0.26487,0.22832,0.23002
0.24253,0.26115,0.25042,0.2459
0.26015,0.2713,0.22069,0.24785
0.25448,0.29347,0.24202,0.21004
0.28132,0.29262,0.22892,0.19713
0.20528,0.27,0.25096,0.27376
0.17792,0.30356,0.23349,0.28503
0.2256,0.25898,0.25643,0.25898
0.25467,0.2461,0.22195,0.27727
0.27756,0.32944,0.17899,0.21401
0.28636,0.28574,0.19962,0.22829
0.2834,0.30387,0.19285,0.21988
0.28151,0.16536,0.28973,0.26341
0.25176,0.21279,0.25954,0.27591
0.19595,0.21627,0.29348,0.29431
0.20728,0.22792,0.23678,0.32802
0.24619,0.25706,0.22158,0.27517
0.22819,0.25042,0.22562,0.29578
0.21057,0.21429,0.30966,0.26547
0.21162,0.34435,0.25737,0.18666
0.25793,0.27173,0.23372,0.23662
0.2276,0.19861,0.24103,0.33275
0.21939,0.2565,0.23746,0.28665
0.24566,0.20177,0.1612,0.39137
0.24673,0.25022,0.23706,0.26599
0.22784,0.27327,0.22562,0.27327
0.2978,0.31306,0.17115,0.21799
0.25616,0.28961,0.26014,0.19408
0.27027,0.24697,0.2429,0.23986
0.17471,0.27196,0.31752,0.23581
0.24638,0.2691,0.25461,0.22991
