0.070746,0.061991,0.069337,0.064814,0.056079,0.071589,0.067079,0.085197,0.060295,0.056079,0.069337,0.068489,0.068771,0.060863,0.069337
0.070186,0.072209,0.061066,0.069925,0.060059,0.06764,0.061579,0.071957,0.070186,0.063341,0.080284,0.068414,0.065618,0.046343,0.071193
0.065616,0.06633,0.068685,0.065268,0.065387,0.065616,0.065735,0.068566,0.067393,0.067503,0.074851,0.062666,0.062904,0.063378,0.070105
0.053631,0.051608,0.051608,0.050371,0.051608,0.05543,0.05543,0.058466,0.080931,0.075545,0.089172,0.081032,0.079532,0.078635,0.087002
0.069074,0.068227,0.065684,0.061107,0.064837,0.064837,0.065345,0.067718,0.070261,0.060429,0.082117,0.063142,0.063142,0.061107,0.072973
0.059135,0.063425,0.069693,0.065166,0.062388,0.066555,0.070036,0.068419,0.068875,0.067839,0.071777,0.066323,0.065975,0.065166,0.069227
0.075529,0.065902,0.06743,0.075529,0.0622,0.071354,0.061108,0.064816,0.064162,0.068522,0.076824,0.072872,0.060238,0.043688,0.069827
0.069339,0.069941,0.057764,0.066744,0.070942,0.065744,0.070738,0.05996,0.061564,0.069339,0.08072,0.064348,0.055975,0.07034,0.06654
0.066897,0.066897,0.069723,0.066897,0.067908,0.069723,0.067303,0.06649,0.066084,0.064666,0.057208,0.06891,0.066698,0.068107,0.06649
0.075877,0.077305,0.068129,0.065818,0.067266,0.069566,0.058626,0.069852,0.064955,0.057237,0.073863,0.059787,0.064955,0.056047,0.070718
0.062239,0.068325,0.070146,0.068727,0.060651,0.064684,0.072167,0.070548,0.065689,0.063297,0.066504,0.060651,0.074593,0.057793,0.073986
0.064884,0.062121,0.077741,0.064143,0.079999,0.075755,0.069308,0.082527,0.063041,0.067647,0.063041,0.043701,0.073137,0.050834,0.062121
0.072637,0.068738,0.062966,0.067331,0.067975,0.067416,0.063941,0.063322,0.068569,0.065458,0.069925,0.068738,0.063585,0.06706,0.062339
0.065703,0.067083,0.067479,0.061763,0.067083,0.066891,0.064311,0.055234,0.072832,0.063155,0.079372,0.064514,0.063476,0.062727,0.078376
0.062164,0.069137,0.067641,0.058699,0.069879,0.063155,0.057717,0.070635,0.072117,0.066649,0.082355,0.060917,0.061663,0.063656,0.073619
0.080784,0.074496,0.057895,0.053123,0.071989,0.068862,0.093069,0.048765,0.071989,0.059452,0.077018,0.05665,0.066352,0.04254,0.077018
0.074551,0.072457,0.066175,0.061996,0.053238,0.060739,0.062619,0.06785,0.068688,0.067431,0.087954,0.054634,0.059902,0.067217,0.074551
