0.20202,0.23232,0.33333,0.16162,0.070707
0.08,0.25,0.44,0.19,0.04
0.009901,0.019802,0.079208,0.24752,0.64356
0.11,0.23,0.33,0.23,0.1
0.14851,0.20792,0.37624,0.17822,0.089109
0.09,0.09,0.34,0.31,0.17
0.079208,0.14851,0.30693,0.30693,0.15842
0.14,0.2,0.34,0.22,0.1
0.05,0.07,0.33,0.35,0.2
0.070707,0.11111,0.29293,0.33333,0.19192
0.070707,0.17172,0.19192,0.32323,0.24242
0.04,0.1,0.31,0.39,0.16
0.11881,0.19802,0.43564,0.14851,0.09901
0.060606,0.15152,0.30303,0.30303,0.18182
0.27273,0.23232,0.37374,0.050505,0.070707
0.11,0.2,0.35,0.21,0.13
0.01,0.03,0.2,0.45,0.31
0.04,0.11,0.34,0.37,0.14
0.079208,0.12871,0.33663,0.31683,0.13861
0.039604,0.059406,0.22772,0.37624,0.29703
0.16,0.17,0.3,0.24,0.13
0.040404,0.080808,0.26263,0.32323,0.29293
0.070707,0.10101,0.43434,0.28283,0.11111
0.15,0.13,0.33,0.32,0.07
0.060606,0.060606,0.26263,0.45455,0.16162
0.079208,0.14851,0.36634,0.26733,0.13861
0.09,0.08,0.32,0.31,0.2
0.22,0.35,0.25,0.12,0.06
0.049505,0.14851,0.39604,0.29703,0.10891
0.06,0.11,0.36,0.31,0.16
0.04,0.05,0.19,0.32,0.4
0.14,0.11,0.24,0.29,0.22
0.050505,0.090909,0.35354,0.32323,0.18182
0.13,0.15,0.28,0.24,0.2
0.13131,0.18182,0.29293,0.27273,0.12121
0.09,0.1,0.29,0.31,0.21
0.15,0.09,0.44,0.23,0.09
0.03,0.05,0.23,0.43,0.26
0.14141,0.21212,0.48485,0.080808,0.080808
0.12,0.12,0.32,0.28,0.16
0.09901,0.16832,0.44554,0.22772,0.059406
0.19,0.08,0.31,0.28,0.14
0.14,0.06,0.16,0.24,0.4
0.07,0.11,0.25,0.33,0.24
0.42574,0.32673,0.13861,0.079208,0.029703
0.050505,0.070707,0.18182,0.29293,0.40404
0.11,0.08,0.28,0.35,0.18
0.21,0.28,0.34,0.13,0.04
0.040404,0.060606,0.20202,0.35354,0.34343
0.04,0.06,0.2,0.35,0.35
0.07,0.22,0.48,0.18,0.05
0.12871,0.20792,0.26733,0.26733,0.12871
0.06,0.08,0.35,0.28,0.23
0.03,0.07,0.29,0.39,0.22
0.08,0.18,0.24,0.26,0.24
0.2,0.3,0.41,0.08,0.01
0.1,0.18,0.45,0.21,0.06
0.02,0.04,0.2,0.39,0.35
0.12,0.07,0.25,0.38,0.18
0.10101,0.18182,0.43434,0.20202,0.080808
0.12245,0.17347,0.33673,0.2449,0.12245
0.01,0.04,0.19,0.41,0.35
0.09,0.25,0.36,0.22,0.08
0.020202,0.040404,0.18182,0.35354,0.40404
0.12,0.18,0.3,0.25,0.15
0.060606,0.11111,0.41414,0.27273,0.14141
0.050505,0.16162,0.42424,0.29293,0.070707
0.07,0.15,0.34,0.28,0.16
0.07,0.15,0.28,0.3,0.2
0.030303,0.060606,0.22222,0.36364,0.32323
0.079208,0.13861,0.40594,0.27723,0.09901
0.14,0.11,0.43,0.22,0.1
0.049505,0.059406,0.22772,0.38614,0.27723
0.030303,0.070707,0.22222,0.34343,0.33333
0.12,0.15,0.31,0.33,0.09
0.08,0.04,0.29,0.39,0.2
0.11881,0.079208,0.29703,0.32673,0.17822
0.22,0.27,0.32,0.13,0.06
0.07,0.09,0.35,0.34,0.15
0.13131,0.17172,0.34343,0.22222,0.13131
0.02,0.05,0.23,0.44,0.26
0.050505,0.080808,0.26263,0.33333,0.27273
0.06,0.06,0.26,0.37,0.25
0.01,0.04,0.21,0.4,0.34
0.039604,0.16832,0.31683,0.27723,0.19802
0.03,0.11,0.36,0.35,0.15
0.1,0.21,0.45,0.2,0.04
0.13,0.22,0.36,0.19,0.1
0.01,0.02,0.22,0.45,0.3
0.050505,0.050505,0.28283,0.39394,0.22222
0.10891,0.12871,0.33663,0.28713,0.13861
0.020202,0.020202,0.20202,0.40404,0.35354
0.19,0.13,0.37,0.2,0.11
0.01,0.06,0.31,0.42,0.2
0.12,0.04,0.42,0.32,0.1
0.08,0.05,0.41,0.39,0.07
0.09,0.1,0.3,0.33,0.18
0.050505,0.070707,0.47475,0.29293,0.11111
0.1,0.14,0.33,0.21,0.22
0.44,0.28,0.16,0.05,0.07
0.1,0.16,0.4,0.22,0.12
0.04,0.12,0.36,0.37,0.11
0.09,0.14,0.42,0.25,0.1
0.050505,0.080808,0.46465,0.32323,0.080808
0.02,0.02,0.16,0.43,0.37
0.019802,0.049505,0.23762,0.38614,0.30693
0.019802,0.059406,0.23762,0.44554,0.23762
0.09,0.1,0.17,0.27,0.37
0.03,0.04,0.22,0.38,0.33
0.02,0.05,0.24,0.44,0.25
0.05,0.07,0.3,0.37,0.21
0.04,0.08,0.37,0.35,0.16
0.03,0.05,0.2,0.39,0.33
0.09,0.2,0.47,0.15,0.09
0.10891,0.19802,0.39604,0.20792,0.089109
0.04,0.15,0.38,0.34,0.09
0.11881,0.23762,0.27723,0.27723,0.089109
0.03,0.04,0.19,0.4,0.34
0.050505,0.040404,0.20202,0.44444,0.26263
0.069307,0.069307,0.13861,0.31683,0.40594
0.06,0.13,0.39,0.29,0.13
0.029703,0.049505,0.19802,0.33663,0.38614
0.03,0.05,0.22,0.41,0.29
0.03,0.06,0.35,0.4,0.16
0.02,0.07,0.29,0.44,0.18
0.04,0.05,0.29,0.4,0.22
0.36,0.34,0.2,0.03,0.07
0.039604,0.079208,0.26733,0.41584,0.19802
0.02,0.05,0.27,0.44,0.22
0.10101,0.15152,0.46465,0.21212,0.070707
0.029703,0.049505,0.24752,0.40594,0.26733
0.080808,0.15152,0.41414,0.22222,0.13131
0.010101,0.040404,0.19192,0.37374,0.38384
0.06,0.1,0.32,0.37,0.15
0.05,0.06,0.38,0.36,0.15
0.059406,0.049505,0.32673,0.32673,0.23762
0.02,0.04,0.27,0.42,0.25
0.04,0.05,0.31,0.41,0.19
0.15,0.26,0.32,0.17,0.1
0.02,0.07,0.32,0.38,0.21
